sim_id,movienames
1,019938_LUS_DAMADEFERRO_65660000_|011998_LUS_KICKASS_|018836_LUS_GETSMARTOLHOVIVO_62092000_|014695_LUS_KILLERELITE_|016333_LUS_XMENOINICIO_65291000_|022541_LUS_RAPTADOS_60344000_|008770_LUS_STEPUP3_|025693_LUS_TUDOPOR1BEBE_64425000_|022549_LUS_200KMHORA_66405000_|026515_LUS_CATCH44_63349000_|021995_LUS_MORTENEGRA_60346000_|001353_LUS_BUSCAIMPLACAVEL_|002027_LUS_DARKKNIGHT_HD_|000248_LUS_CRIMEPADREAMARO_|015162_LUS_MEDOPROFUNDO_63035000_
2,001348_LUS_SAW5_|027638_LUS_STOKER_67075000_|025071_LUS_CRONARNIAVIAGCAMALV_64467000_|004798_LUS_PORAMOR_|022529_LUS_LOLAVERSUS_63741000_|025655_LUS_FOGCONTRAFOG_65786000_|019938_LUS_DAMADEFERRO_65660000_|013679_LUS_CACADORESDRAGOES_|000055_LUS_TCAESMERECEMCEU_|019404_LUS_BALASEBOLINHOSREG_55945000_|005403_LUS_NINJASSASSI_|003018_LUS_ZACKMIRIFAZEMPORNO_|012908_LUS_BEASTLY_|020180_LUS_DESCARADAMENTEINFIEIS_64420000_|025701_LUS_SNITCH_63868000_
3,010083_LUS_PRECOTRAICAO_|008541_LUS_GRANDEMOCAMEU_|012017_LUS_AULTIMANOITE_|008770_LUS_STEPUP3_|014691_LUS_WANTED_|019938_LUS_DAMADEFERRO_65660000_|020698_LUS_PESCASALMAOIEMEN_66079000_|016340_LUS_PLANETAMACACOSORIGEM_65275000_|028731_LUS_116DESVIOMILHOES_66381000_|017109_LUS_HOMEMNOLIMITE_63401000_|009363_LUS_ULTIMOEXORCISMO_|002578_LUS_OELEFANTEAZUL_|028333_LUS_POKEMON5_55561000_|003006_LUS_NOLIMITEDOAMOR_|002008_LUS_QUEMQUERSMILION_HD_
4,027638_LUS_STOKER_67075000_|013634_LUS_LARRYCROWNE_|018491_LUS_TRES_65031000_|028347_LUS_PELE_54257000_|015783_LUS_3MOSQUETEIROS_63020000_|000092_LUS_TURISTAS_|028333_LUS_POKEMON5_55561000_|022549_LUS_200KMHORA_66405000_|028354_LUS_VIDASELVAGEMFILME_67297000_|008541_LUS_GRANDEMOCAMEU_|015028_LUS_OSSMURFS_64447_|024586_LUS_KILLIRISHMAN_66731000_|005738_LUS_REIESCORPIAO_|017791_LUS_DRIVEDUPLRISC_65661000_|026881_LUS_PEDACINHOPARAISO_61913000_
5,028369_LUS_CENARIOMORTAL_67324000_|016589_LUS_METODPERIGOSO_5027000_|028401_LUS_GARFIELDFESTIVCOMED_61365000_VP_|027638_LUS_STOKER_67075000_|028354_LUS_VIDASELVAGEMFILME_67297000_|028333_LUS_POKEMON5_55561000_|024590_LUS_VIAGEMPOPEYE_66734000_|011406_LUS_TROPAELITE2_|002006_LUS_ADUQUESA_HD_|024537_LUS_TRIBO_59072000_|028364_LUS_1CONTODENATAL_52455000_VO_|024854_LUS_10000AC_62050000_|001015_LUS_MACACOSESPACO_VP_|018880_LUS_BUSCIDADEPERD_70117000_|026476_LUS_ERA1VEZ1PAI_55949000_
6,020480_LUS_NALIEUE13ULT_61619000_|012908_LUS_BEASTLY_|002247_LUS_RAPAZPIJAMARISCAS_|000248_LUS_CRIMEPADREAMARO_|017153_LUS_NIKOTPNATAL_VP_65538_|028369_LUS_CENARIOMORTAL_67324000_|021987_LUS_MUNDENCANTGIGI_60283000_VP_|025076_LUS_SEMTI_61341000_|001015_LUS_MACACOSESPACO_VP_|026969_LUS_ARANHAS_63574000_|025655_LUS_FOGCONTRAFOG_65786000_|018789_LUS_EUSOUALENDA_62106000_|017825_LUS_PROMETAMARTE_63263000_|028367_LUS_VIDAN1MOMENTO_67281000_|028341_LUS_VISITANTESNAMERICA_53617000_
7,024854_LUS_10000AC_62050000_|002213_LUS_MAMMAMIA_HD_|002027_LUS_DARKKNIGHT_HD_|011406_LUS_TROPAELITE2_|012017_LUS_AULTIMANOITE_|008541_LUS_GRANDEMOCAMEU_|010423_LUS_DIADETREINO_|002275_LUS_VELOCIDADEMFURIOSA_|026515_LUS_CATCH44_63349000_|026881_LUS_PEDACINHOPARAISO_61913000_|016624_LUS_IDADEGELO3_VP_65261000_|002008_LUS_QUEMQUERSMILION_HD_|028401_LUS_GARFIELDFESTIVCOMED_61365000_VP_|008745_LUS_300_|000092_LUS_TURISTAS_
8,016624_LUS_IDADEGELO3_VP_65261000_|024214_LUS_ANTICRISTO_51899000_|026461_LUS_DESPERTAR_63765000_|024227_LUS_PATOLOGIA_59218000_|026969_LUS_ARANHAS_63574000_|027692_LUS_MALDICAOCHUCKY_67183000_|028365_LUS_1CONTODENATAL_52455000_VP_|014682_LUS_COLOMBIANA_|000138_LUS_AMOREODESASTRES_|002006_LUS_ADUQUESA_HD_|002247_LUS_RAPAZPIJAMARISCAS_|023518_LUS_SAFEOINTOCAVEL_66511000_|025076_LUS_SEMTI_61341000_|017109_LUS_HOMEMNOLIMITE_63401000_|025655_LUS_FOGCONTRAFOG_65786000_
9,024645_LUS_VERTIGEM_61625000_|028730_LUS_CUMPLICE_66643000_|020157_LUS_ACEVENTURADETANIM_26668000_|018855_LUS_ESPELHOMEU_63742000_|018836_LUS_GETSMARTOLHOVIVO_62092000_|011414_LUS_1MAEEMAPUROS_|015788_LUS_CAPUCHVERM_NAVENT_65128000_|025684_LUS_ZARAFA_VP_65340000_|012606_LUS_ARTUR3GUERRA2MUNDOS_VP_|011406_LUS_TROPAELITE2_|004421_LUS_INIMIGOSPUBLICOS_|000069_LUS_TMNTNOVAAVENTURA_|014695_LUS_KILLERELITE_|024227_LUS_PATOLOGIA_59218000_|012029_LUS_TEKKENOFILME_
10,028345_LUS_CHIMPASEMPERIGO_55136000_|024227_LUS_PATOLOGIA_59218000_|016333_LUS_XMENOINICIO_65291000_|022030_LUS_MARGINAIS_66299000_|000104_LUS_COLECCIONADOROLHOS_|029318_LUS_TEMOSFALARSOBKEVIN_65924000_|008147_LUS_HOMEMDEFERRO2_|000812_LUS_MATADORAS_|016321_LUS_RIO_VP_64471000_|010965_LUS_BLUEVALENTINE_|026880_LUS_HOMEMABATER_64426000_|026645_LUS_BALACERTEIRA_67106000_|027490_LUS_TOMASEAMIGANIMZOO_63527_695659D_|011998_LUS_KICKASS_|002213_LUS_MAMMAMIA_HD_
