X,packagename,packagename_orig,logprice,movie_group,start_date,price_orig,cost_no_vat,augsales,imdb_rating,imdb_votes
1,000008_LUS_CIDADEBAIXA_,000008_LUS_CIDADEBAIXA_,5.003946306,50K,1/10/14 0:00,149,75,61,6.6,2797
2,000055_LUS_TCAESMERECEMCEU_,000055_LUS_TCAESMERECEMCEU_,5.293304825,70K,9/20/13 0:00,199,100,6,6.6,18955
3,000069_LUS_TMNTNOVAAVENTURA_,000069_LUS_TMNTNOVAAVENTURA_,5.700443573,70K,9/6/13 0:00,299,149,87,6.4,44957
4,000076_LUS_OFIELJARDINEIRO_,000076_LUS_OFIELJARDINEIRO_,5.700443573,50K,2/7/14 0:00,299,149,0,7.5,91293
5,000080_LUS_SAW3OLEGADO_,000080_LUS_SAW3OLEGADO_,5.293304825,70K,9/20/13 0:00,199,100,48,6.2,109769
6,000092_LUS_TURISTAS_,000092_LUS_TURISTAS_,5.003946306,70K,9/6/13 0:00,149,75,38,5.3,26609
7,000102_LUS_BRATZOFILMEVDOB_,000102_LUS_BRATZOFILMEVDOB_,5.855071922,50K,10/18/13 0:00,349,75,27,2.5,12120
8,000104_LUS_COLECCIONADOROLHOS_,000104_LUS_COLECCIONADOROLHOS_,5.293304825,70K,9/20/13 0:00,199,100,14,5.1,17503
9,000138_LUS_AMOREODESASTRES_,000138_LUS_AMOREODESASTRES_,5.003946306,70K,9/6/13 0:00,149,75,29,6.3,9508
10,000152_LUS_DUMBO_,000152_LUS_DUMBO_,5.293304825,70K,9/6/13 0:00,199,100,47,7.3,56257
11,000209_LUS_PAPUCAEDENTUCA_,000209_LUS_PAPUCAEDENTUCA_,5.293304825,70K,9/6/13 0:00,199,100,58,7.3,44187
12,000244_LUS_B13GANGSBAIRRO13_,000244_LUS_B13GANGSBAIRRO13_,5.293304825,70K,9/6/13 0:00,199,100,25,7.2,44140
13,000248_LUS_CRIMEPADREAMARO_,000248_LUS_CRIMEPADREAMARO_,5.293304825,70K,9/20/13 0:00,199,100,21,5.2,1675
14,000265_LUS_SAWENIGMAMORTAL_,000265_LUS_SAWENIGMAMORTAL_,5.003946306,70K,9/20/13 0:00,149,75,33,7.7,224736
15,000291_LUS_ASTERIXVIKINGSVP_,000291_LUS_ASTERIXVIKINGSVP_,5.003946306,70K,9/20/13 0:00,149,75,28,6,6433
16,000292_LUS_ARTURMINIMEUSVP_,000292_LUS_ARTURMINIMEUSVP_,5.293304825,50K,12/13/13 0:00,199,100,33,6,20123
17,000293_LUS_WINX_VP_,000293_LUS_WINX_VP_,5.293304825,50K,10/18/13 0:00,199,100,18,4.1,271
18,000812_LUS_MATADORAS_,000812_LUS_MATADORAS_,5.003946306,70K,9/6/13 0:00,149,75,9,6.2,37869
19,000877_LUS_VEMCOMIGO_,000877_LUS_VEMCOMIGO_,5.700443573,70K,9/20/13 0:00,299,75,185,5.6,8785
20,001015_LUS_MACACOSESPACO_VP_,001015_LUS_MACACOSESPACO_VP_,5.293304825,70K,9/6/13 0:00,199,100,44,4.6,7437
21,001023_LUS_HOMEMDEFERRO_,001023_LUS_HOMEMDEFERRO_,5.855071922,100K,11/15/13 0:00,349,149,128,7.9,467927
22,001080_LUS_HISTINTERMINAVEL_,001080_LUS_HISTINTERMINAVEL_,5.003946306,70K,9/6/13 0:00,149,75,38,7.4,71891
23,001097_LUS_STEPUP_,001097_LUS_STEPUP_,5.293304825,50K,12/13/13 0:00,199,100,34,6.5,62018
24,001348_LUS_SAW5_,001348_LUS_SAW5_,5.293304825,70K,9/6/13 0:00,199,100,69,5.8,66087
25,001353_LUS_BUSCAIMPLACAVEL_,001353_LUS_BUSCAIMPLACAVEL_,5.700443573,70K,9/6/13 0:00,299,100,33,7.9,358754
26,001522_LUS_YOUNGPEOPLEFUCKING_,001522_LUS_YOUNGPEOPLEFUCKING_,5.293304825,140K,10/18/13 0:00,199,100,33,6.4,16056
27,001547_LUS_TWILIGHT_HD_,001547_LUS_TWILIGHT_HD_,5.988961417,130K,1/10/14 0:00,399,170,42,5.2,279861
28,001857_LUS_TRANSPORTER3_HD_,001857_LUS_TRANSPORTER3_HD_,5.700443573,50K,1/10/14 0:00,299,149,31,6,86222
29,002006_LUS_ADUQUESA_HD_,002006_LUS_ADUQUESA_HD_,5.700443573,50K,1/10/14 0:00,299,149,17,6.9,44417
30,002008_LUS_QUEMQUERSMILION_HD_,002008_LUS_QUEMQUERSMILION_HD_,5.855071922,50K,12/13/13 0:00,349,170,17,8.1,467624
31,002027_LUS_DARKKNIGHT_HD_,002027_LUS_DARKKNIGHT_HD_,5.700443573,70K,9/20/13 0:00,299,149,102,9,1133701
32,002205_LUS_ENGATE_,002205_LUS_ENGATE_,5.003946306,70K,9/6/13 0:00,149,75,69,2.8,1201
33,002208_LUS_OGLADIADOR_,002208_LUS_OGLADIADOR_,5.700443573,50K,2/7/14 0:00,299,149,0,8.5,649422
34,002213_LUS_MAMMAMIA_HD_,002213_LUS_MAMMAMIA_HD_,5.700443573,50K,2/7/14 0:00,299,149,0,6.4,104567
35,002247_LUS_RAPAZPIJAMARISCAS_,002247_LUS_RAPAZPIJAMARISCAS_,5.700443573,50K,10/18/13 0:00,299,149,174,7.8,85988
36,002275_LUS_VELOCIDADEMFURIOSA_,002275_LUS_VELOCIDADEMFURIOSA_,5.293304825,270K,11/15/13 0:00,199,100,49,5.6,122615
37,002509_LUS_YESMAN_,002509_LUS_YESMAN_,5.293304825,50K,10/18/13 0:00,199,100,70,6.9,210994
38,002560_LUS_VELFUR_LIGATOQUIO_,002560_LUS_VELFUR_LIGATOQUIO_,5.293304825,100K,11/15/13 0:00,199,100,64,5.9,112146
39,002562_LUS_SCARYMOVIE2_,002562_LUS_SCARYMOVIE2_,5.293304825,70K,9/6/13 0:00,199,100,84,5.1,93282
40,002578_LUS_OELEFANTEAZUL_,002578_LUS_OELEFANTEAZUL_,5.003946306,70K,9/20/13 0:00,149,75,49,6.2,259
41,002691_LUS_SINAISDOFUTURO_,002691_LUS_SINAISDOFUTURO_,5.988961417,70K,9/20/13 0:00,399,170,20,6.2,151420
42,003004_LUS_CORALINE_,003004_LUS_CORALINE_,5.700443573,50K,2/7/14 0:00,299,149,43,7.7,108734
43,003006_LUS_NOLIMITEDOAMOR_,003006_LUS_NOLIMITEDOAMOR_,5.293304825,70K,9/20/13 0:00,199,100,6,6.3,10677
44,003018_LUS_ZACKMIRIFAZEMPORNO_,003018_LUS_ZACKMIRIFAZEMPORNO_,5.293304825,70K,9/20/13 0:00,199,100,26,6.7,125398
45,003150_LUS_DIARIODAPRINCESA_,003150_LUS_DIARIODAPRINCESA_,5.293304825,50K,2/7/14 0:00,199,100,0,6.1,63651
46,003249_LUS_HARRYPOTTERPRISAZK_,003249_LUS_HARRYPOTTERPRISAZK_,5.293304825,140K,10/18/13 0:00,199,100,65,7.8,275785
47,004354_LUS_HARRYPOTTPRINCMIST_,004354_LUS_HARRYPOTTPRINCMIST_,5.293304825,50K,10/18/13 0:00,199,100,120,7.4,227252
48,004421_LUS_INIMIGOSPUBLICOS_,004421_LUS_INIMIGOSPUBLICOS_,5.855071922,70K,9/20/13 0:00,349,149,11,7,178877
49,004459_LUS_BONES2_,004459_LUS_BONES2_,5.700443573,100K,11/15/13 0:00,299,149,96,4.3,380
50,004537_LUS_PARAMINHAIRMA_,004537_LUS_PARAMINHAIRMA_,5.293304825,50K,10/18/13 0:00,199,100,46,7.4,54960
